Symbol,ER_Rank,ER_Rank_Sharpe,Score_Rank,Score_Rank_Sharpe,Name,Type,Quantity,Bought_Price,Current_Price,Equity,Percent_Change,Equity_Change,Total_Return,PE_Ratio,Portfolio_Percentage
AXTA,1.0,1.0,1.0,2.0,Axalta Coating Systems,stock,850.0,31.9262,31.29,26596.5,-1.99,-540.77,-0.019927207121423856,15.590266,43.5
ASPN,2.0,3.0,2.0,8.0,Aspen Aerogels,stock,250.0,5.9862,6.01,1502.5,0.4,5.95,0.003975811032040292,-1.74,2.46
OPCH,3.0,9.0,3.0,24.0,Option Care Health,stock,25.0,32.6352,32.73,818.25,0.29,2.37,0.002904838946903936,26.415848,1.34
AGI,22.0,28.0,8.0,10.0,Alamos Gold,stock,1.0,24.4584,26.1,26.1,6.71,1.6416,0.06711804533411836,40.965982,0.04
ALHC,24.0,71.0,23.0,27.0,Alignment Healthcare,stock,1.0,14.9483,15.21,15.21,1.75,0.2617,0.017507007485801137,-33.16,0.02
OPK,15.0,5.0,24.0,23.0,OPKO Health,stock,333.0,1.5357,1.3292,442.62,-13.45,-68.7645,-0.13446636712899662,-17.15,0.72
MIRM,35.0,110.0,27.0,32.0,Mirum Pharmaceuticals,stock,1.0,46.1696,44.31,44.31,-4.03,-1.8596,-0.040277585250901034,-28.08,0.07
CIFR,31.0,40.0,29.0,29.0,Cipher Mining,stock,55.0,4.8772,3.64,200.2,-25.37,-68.046,-0.25367013860411713,-9.49,0.33
DXC,97.0,33.0,34.0,31.0,DXC Technology,stock,5.0,21.5124,14.7599,73.8,-31.39,-33.7625,-0.31388873393949535,7.263738,0.12
DBX,51.0,48.0,50.0,53.0,Dropbox,stock,100.0,28.9731,28.59,2859.0,-1.32,-38.31,-0.013222609938184002,18.837057,4.68
TGTX,91.0,87.0,54.0,54.0,TG Therapeutics,stock,1.0,34.1698,34.0501,34.05,-0.35,-0.1197,-0.003503093374851526,145.368852,0.06
BITF,123.0,106.0,57.0,56.0,Bitfarms,stock,333.0,1.782,1.1001,366.33,-38.27,-227.0727,-0.38265993265993264,-5.95,0.6
UBER,220.0,36.0,61.0,50.0,Uber,stock,10.0,89.864,88.21,882.1,-1.84,-16.54,-0.018405590670346417,16.01946,1.44
APLD,32.0,89.0,71.0,74.0,Applied Digital,stock,100.0,8.9975,6.76,676.0,-24.87,-223.75,-0.24868018894137267,-4.93,1.11
CYTK,214.0,124.0,80.0,79.0,Cytokinetics,stock,1.0,31.5123,31.31,31.31,-0.64,-0.2023,-0.006419715476179175,-5.9,0.05
OCUL,342.0,150.0,99.0,90.0,Ocular Therapeutix,stock,1.0,7.323,7.3,7.3,-0.31,-0.023,-0.0031407892940052673,-6.62,0.01
GOOGL,529.0,174.0,119.0,105.0,Alphabet Class A,stock,5.0,186.706,168.7,843.5,-9.64,-90.03,-0.09644039291720674,18.286441,1.38
META,589.0,389.0,134.0,147.0,Meta Platforms,stock,1.0,637.022,634.5499,634.55,-0.39,-2.4721,-0.003880713695916418,24.850995,1.04
CLBT,284.0,176.0,152.0,155.0,Cellebrite,stock,100.0,17.1912,16.89,1689.0,-1.75,-30.12,-0.017520591930755152,-17.68,2.76
MSFT,536.0,380.0,171.0,231.0,Microsoft,stock,1.0,453.61,452.3,452.3,-0.29,-1.31,-0.0028879433874914625,35.405623,0.74
ACAD,301.0,407.0,199.0,194.0,ACADIA Pharmaceuticals,stock,1.0,18.2328,21.85,21.85,19.84,3.6172,0.19838971523847135,15.790623,0.04
IQ,209.0,139.0,250.0,261.0,iQIYI,adr,50.0,1.9956,1.7197,85.98,-13.83,-13.795,-0.1382541591501303,16.847826,0.14
AFRM,333.0,269.0,251.0,268.0,Affirm,stock,5.0,52.5827,47.14,235.7,-10.35,-27.2135,-0.10350742734777792,-229.11,0.39
CCCS,283.0,184.0,256.0,272.0,CCC Intelligent Solutions,stock,10.0,9.0583,8.64,86.4,-4.62,-4.183,-0.046178642791693654,650.0,0.14
SMCI,559.0,541.0,302.0,437.0,Super Micro Computer,stock,20.0,43.095,41.4,828.0,-3.93,-33.9,-0.039331709014966944,23.606358,1.35
BANC,432.0,417.0,309.0,315.0,Banc of California,stock,1.0,14.73,13.82,13.82,-6.18,-0.91,-0.061778682959945694,21.998463,0.02
XPO,526.0,478.0,333.0,439.0,XPO,stock,10.0,124.403,120.63,1206.3,-3.03,-37.73,-0.030328850590419926,38.289231,1.97
HOMB,339.0,426.0,346.0,328.0,Home Bank,stock,5.0,29.1386,28.2,141.0,-3.22,-4.693,-0.032211568160447,13.904817,0.23
ODFL,539.0,440.0,364.0,505.0,Old Dominion Freight Line,stock,7.0,171.1857,164.19,1149.33,-4.09,-48.9699,-0.04086614711392365,31.793641,1.88
IONQ,140.0,283.0,390.0,345.0,IonQ,stock,1.0,34.82,33.54,33.54,-3.68,-1.28,-0.0367604824813326,-23.69,0.05
SPY,234.0,373.0,420.0,376.0,SPDR S&P 500 ETF,etp,0.003822,555.2985,583.0607,2.23,5.0,0.106107,0.04999509272940591,26.051224,0.0
LMND,293.0,463.0,460.0,399.0,Lemonade,stock,3.0,32.6267,29.02,87.06,-11.05,-10.8201,-0.11054443140127565,-9.59,0.14
PDD,796.0,655.0,511.0,563.0,PDD Holdings,adr,10.0,118.81,116.26,1162.6,-2.15,-25.5,-0.021462839828297258,11.113425,1.9
MNSO,845.0,763.0,671.0,634.0,MINISO Group,adr,5.0,20.244,20.7991,104.0,2.74,2.7755,0.02742047026279389,17.796899,0.17
NXT,543.0,607.0,739.0,540.0,Nextracker,stock,20.0,59.025,57.035,1140.7,-3.37,-39.8,-0.033714527742482035,17.294556,1.87
UWMC,1138.0,1124.0,798.0,933.0,UWM,stock,10.0,4.1275,4.01,40.1,-2.85,-1.175,-0.028467595396729398,-28.71,0.07
ATO,575.0,685.0,864.0,641.0,Atmos Energy,stock,2.0,157.455,156.96,313.92,-0.31,-0.99,-0.0031437553586739354,22.208264,0.51
WSC,1135.0,1119.0,900.0,1076.0,WillScot Holdings Corporation,stock,20.0,28.549,27.17,543.4,-4.83,-27.58,-0.04830291779046544,319.0899,0.89
HPE,549.0,644.0,903.0,606.0,HP Enterprise,stock,25.0,17.8156,17.54,438.5,-1.55,-6.89,-0.015469588450571451,8.767937,0.72
WSM,841.0,1018.0,1038.0,911.0,Williams-Sonoma,stock,5.0,204.6,168.0,840.0,-17.89,-183.0,-0.1788856304985337,19.630869,1.37
W,1107.0,1132.0,1095.0,1009.0,Wayfair,stock,1.0,39.0722,36.3105,36.31,-7.07,-2.7617,-0.07068196825364337,-12.74,0.06
XPEV,1198.0,1198.0,1196.0,1198.0,XPeng,adr,2.0,20.02,22.14,44.28,10.59,4.24,0.10589410589410594,-23.14,0.07
RIVN,1199.0,1199.0,1198.0,1200.0,Rivian Automotive,stock,50.0,16.1146,16.2603,813.02,0.9,7.285,0.00904149032554339,-4.39,1.33
